FileName1,FileName2,domain,SimilarityScore
ChristianoRonaldo.txt,Aspirin.txt,Sports,0.07463465256652398
ChristianoRonaldo.txt,iboprofen.txt,Sports,0.1000964633035881
ChristianoRonaldo.txt,JobProfileCDeveloper.txt,Sports,0.20462856363242943
ChristianoRonaldo.txt,JobProfileMedia.txt,Sports,0.24159553960584973
ChristianoRonaldo.txt,paracetomol.txt.txt,Sports,0.05217103947764351
ChristianoRonaldo.txt,SachinTendulkarNewsArticle.txt,Sports,0.39335769625488354
JobRequirement_Developer.txt,Aspirin.txt,JobVacancy,0.020408940082666745
JobRequirement_Developer.txt,iboprofen.txt,JobVacancy,0.03849662483089439
JobRequirement_Developer.txt,JobProfileCDeveloper.txt,JobVacancy,0.6865949240239856
JobRequirement_Developer.txt,JobProfileMedia.txt,JobVacancy,0.3948641047184554
JobRequirement_Developer.txt,paracetomol.txt.txt,JobVacancy,0.029921921849727508
JobRequirement_Developer.txt,SachinTendulkarNewsArticle.txt,JobVacancy,0.0734718347095683
JobRequirement_Media.txt,Aspirin.txt,JobVacancy,0.02891361887755182
JobRequirement_Media.txt,iboprofen.txt,JobVacancy,-0.0003090337066962025
JobRequirement_Media.txt,JobProfileCDeveloper.txt,JobVacancy,0.33393808658320884
JobRequirement_Media.txt,JobProfileMedia.txt,JobVacancy,0.5924108889409379
JobRequirement_Media.txt,paracetomol.txt.txt,JobVacancy,0.034627172448806615
JobRequirement_Media.txt,SachinTendulkarNewsArticle.txt,JobVacancy,0.08679545103921829
JobRequirement_WorkingStudent.txt,Aspirin.txt,JobVacancy,0.020422958295078328
JobRequirement_WorkingStudent.txt,iboprofen.txt,JobVacancy,0.03846400009097618
JobRequirement_WorkingStudent.txt,JobProfileCDeveloper.txt,JobVacancy,0.6844784480095567
JobRequirement_WorkingStudent.txt,JobProfileMedia.txt,JobVacancy,0.3949608937548915
JobRequirement_WorkingStudent.txt,paracetomol.txt.txt,JobVacancy,0.029950290076886623
JobRequirement_WorkingStudent.txt,SachinTendulkarNewsArticle.txt,JobVacancy,0.07350762338046747
MedicalHistory.txt,Aspirin.txt,Medical,0.332299722674283
MedicalHistory.txt,iboprofen.txt,Medical,0.23704011856446075
MedicalHistory.txt,JobProfileCDeveloper.txt,Medical,0.2024870292098509
MedicalHistory.txt,JobProfileMedia.txt,Medical,0.2682821450497619
MedicalHistory.txt,paracetomol.txt.txt,Medical,0.238635225991306
MedicalHistory.txt,SachinTendulkarNewsArticle.txt,Medical,0.16843753600373715
MSDhoni.txt,Aspirin.txt,Sports,0.02663279621246414
MSDhoni.txt,iboprofen.txt,Sports,0.010744615750500756
MSDhoni.txt,JobProfileCDeveloper.txt,Sports,0.18721391328116832
MSDhoni.txt,JobProfileMedia.txt,Sports,0.19270666963493185
MSDhoni.txt,paracetomol.txt.txt,Sports,0.021938878027899383
MSDhoni.txt,SachinTendulkarNewsArticle.txt,Sports,0.5415138595784064
SachinTendulkar.txt,Aspirin.txt,Sports,0.07507314323990188
SachinTendulkar.txt,iboprofen.txt,Sports,0.05253059411893194
SachinTendulkar.txt,JobProfileCDeveloper.txt,Sports,0.16465064337268015
SachinTendulkar.txt,JobProfileMedia.txt,Sports,0.1684745037622976
SachinTendulkar.txt,paracetomol.txt.txt,Sports,0.08737486901661921
SachinTendulkar.txt,SachinTendulkarNewsArticle.txt,Sports,0.7395625342430131
